Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN
SPYY.DE,SPDR MSCI All Country World UCITS ETF (Acc),"0,12%",Capitalisation,Échantillonnage optimisé,IE00B44Z5B48
IE000KXCEXR3.SG,Amundi S&P 500 Screened UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,IE000KXCEXR3
XMUS.L,Xtrackers MSCI USA Swap UCITS ETF 1C,"0,15%",Capitalisation,Basée sur swap non financé,LU0274210672
SLMC.DE,iShares MSCI Europe Screened UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage optimisé,IE00BFNM3D14
CSBGU0.SW,iShares USD Treasury Bond 7-10yr UCITS ETF (Acc),"0,07%",Capitalisation,Échantillonnage,IE00B3VWN518
XSPU.L,Xtrackers S&P 500 Swap UCITS ETF 1C,"0,15%",Capitalisation,Basée sur swap non financé,LU0490618542
VEUR.AS,Vanguard FTSE Developed Europe UCITS ETF Distributing,"0,10%",Distribution,Réplication complète,IE00B945VV12
EEUD.L,iShares MSCI Europe ESG Enhanced CTB UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage optimisé,IE00BHZPJ676
IWFQ.L,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),"0,25%",Capitalisation,Échantillonnage optimisé,IE00BP3QZ601
MSE.PA,Amundi EURO STOXX 50 II UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,FR0007054358
IEML.L,iShares J.P. Morgan EM Local Government Bond UCITS ETF,"0,50%",Distribution,Échantillonnage,IE00B5M4WH52
R2US.L,SPDR Russell 2000 US Small Cap UCITS ETF,"0,30%",Capitalisation,Échantillonnage optimisé,IE00BJ38QD84
CSH2.PA,Amundi Smart Overnight Return UCITS ETF Acc,"0,10%",Capitalisation,Basée sur swap non financé,LU1190417599
IUAA.L,iShares US Aggregate Bond UCITS ETF (Acc),"0,25%",Capitalisation,Échantillonnage,IE00BYXYYM63
SPY4.L,SPDR S&P 400 U.S. Mid Cap UCITS ETF USD Unhedged (Acc),"0,30%",Capitalisation,Réplication complète,IE00B4YBJ215
LSPU.L,Amundi S&P 500 II UCITS ETF USD Dist,"0,05%",Distribution,Basée sur swap non financé,LU0496786657
IEMB.L,iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),"0,45%",Distribution,Échantillonnage,IE00B2NPKV68
CAC.PA,Amundi CAC 40 UCITS ETF Dist,"0,25%",Distribution,Réplication complète,FR0007052782
CSEMAS.SW,iShares MSCI EM Asia UCITS ETF (Acc),"0,20%",Capitalisation,Réplication complète,IE00B5L8K969
JE00B588CD74.SG,WisdomTree Physical Swiss Gold,"0,15%",Capitalisation,Physiquement garanti,JE00B588CD74
LQDA.L,iShares USD Corporate Bond UCITS ETF (Acc),"0,20%",Capitalisation,Échantillonnage,IE00BYXYYJ35
VEVE.L,Vanguard FTSE Developed World UCITS ETF Distributing,"0,12%",Distribution,Échantillonnage optimisé,IE00BKX55T58
ESE.PA,BNP Paribas Easy S&P 500 UCITS ETF EUR,"0,13%",Capitalisation,Basée sur swap non financé,FR0011550185
CEU2.PA,Amundi Index ETF MSCI Europe UCITS ETF DR (C),"0,12%",Capitalisation,Réplication complète,LU1437015735
ERN1.L,iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),"0,09%",Distribution,Échantillonnage,IE00BCRY6557
EWSP.AS,iShares S&P 500 Equal Weight UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE000MLMNYS0
500U.L,Amundi ETF S&P 500 UCITS ETF USD,"0,15%",Capitalisation,Basée sur swap non financé,LU1681049018
IWFV.L,iShares Edge MSCI World Value Factor UCITS ETF,"0,25%",Capitalisation,Échantillonnage optimisé,IE00BP3QZB59
IGLT.MI,iShares Core UK Gilts UCITS ETF,"0,07%",Distribution,Échantillonnage,IE00B1FZSB30
EQAC.SW,Invesco EQQQ Nasdaq-100 UCITS ETF Acc,"0,30%",Capitalisation,Réplication complète,IE00BFZXGZ54
IBTM.SW,iShares USD Treasury Bond 7-10yr UCITS ETF (Dist),"0,07%",Distribution,Échantillonnage,IE00B1FZS798
GBS.L,Gold Bullion Securities,"0,40%",Capitalisation,Physiquement garanti,GB00B00FHZ82
IE00BJ5JPG56.SG,iShares MSCI China UCITS ETF USD (Acc),"0,28%",Capitalisation,Réplication complète,IE00BJ5JPG56
IE000Y77LGG9.SG,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,IE000Y77LGG9
0XC5.IL,BNP Paribas Easy S&P 500 UCITS ETF USD,"0,13%",Capitalisation,Basée sur swap non financé,FR0011550177
ISPA.DE,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),"0,46%",Distribution,Réplication complète,DE000A0F5UH1
EHYA.AS,iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Acc),"0,25%",Capitalisation,Échantillonnage,IE00BJK55C48
IEAA.L,iShares Core EUR Corporate Bond UCITS ETF (Acc),"0,09%",Capitalisation,Échantillonnage,IE00BF11F565
SPYD.DE,SPDR S&P US Dividend Aristocrats UCITS ETF,"0,35%",Distribution,Réplication complète,IE00B6YX5D40
VERX.AS,Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Distributing,"0,10%",Distribution,Réplication complète,IE00BKX55S42
EXUS.DE,Xtrackers MSCI World ex USA UCITS ETF 1C,"0,15%",Capitalisation,Réplication complète,IE0006WW1TQ4
UETW.DE,UBS Core MSCI World UCITS ETF USD acc,"0,06%",Capitalisation,Réplication complète,IE00BD4TXV59
MINT.L,PIMCO US Dollar Short Maturity UCITS ETF Dist,"0,35%",Distribution,Échantillonnage optimisé,IE00B67B7N93
WDEF.MI,WisdomTree Europe Defence UCITS ETF EUR Unhedged Acc,"0,40%",Capitalisation,Réplication complète,IE0002Y8CX98
CB3.PA,Amundi Euro Government tilted Green Bond UCITS ETF Acc,"0,14%",Capitalisation,Échantillonnage,LU1681046261
TDIV.AS,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,"0,38%",Distribution,Réplication complète,NL0011683594
AEME.PA,Amundi Index MSCI Emerging Markets UCITS ETF DR (C),"0,18%",Capitalisation,Réplication complète,LU1437017350
CSPXJ.SW,iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),"0,20%",Capitalisation,Réplication complète,IE00B52MJY50
AGGU.L,iShares Core Global Aggregate Bond UCITS ETF USD Hedged (Acc),"0,10%",Capitalisation,Échantillonnage,IE00BZ043R46
LU2573966905.SG,Amundi MSCI Emerging Markets II UCITS ETF Dist,"0,14%",Distribution,Basée sur swap non financé,LU2573966905
SPXE.L,Invesco S&P 500 Scored & Screened UCITS ETF Acc,"0,09%",Capitalisation,Basée sur swap non financé,IE00BKS7L097
VECA.DE,Vanguard EUR Corporate Bond UCITS ETF Accumulating,"0,07%",Capitalisation,Échantillonnage,IE00BGYWT403
RBOT.L,iShares Automation & Robotics UCITS ETF,"0,40%",Capitalisation,Échantillonnage optimisé,IE00BYZK4552
SUAS.L,iShares MSCI USA SRI UCITS ETF USD (Acc),"0,20%",Capitalisation,Réplication complète,IE00BYVJRR92
IWFM.L,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),"0,25%",Capitalisation,Échantillonnage optimisé,IE00BP3QZ825
SUSS.L,iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Dist),"0,12%",Distribution,Échantillonnage,IE00BYZTVV78
EXV1.DE,iShares STOXX Europe 600 Banks UCITS ETF (DE),"0,47%",Distribution,Réplication complète,DE000A0F5UJ7
EDM4.DE,iShares MSCI EMU ESG Enhanced CTB UCITS ETF EUR (Acc),"0,12%",Capitalisation,Échantillonnage optimisé,IE00BHZPJ015
ESGU.L,Invesco MSCI USA ESG Universal Screened UCITS ETF Acc,"0,09%",Capitalisation,Échantillonnage optimisé,IE00BJQRDM08
JREE.L,JPMorgan Europe Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),"0,23%",Capitalisation,Réplication complète,IE00BF4G7183
BNKE.PA,Amundi Euro Stoxx Banks UCITS ETF Acc,"0,30%",Capitalisation,Réplication complète,LU1829219390
LYPS.DE,Amundi S&P 500 II UCITS ETF EUR Dist,"0,05%",Distribution,Basée sur swap non financé,LU0496786574
EEUE.PA,BNP Paribas Easy MSCI Europe Min TE UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1291099718
C50.PA,Amundi EURO STOXX 50 UCITS ETF EUR (C),"0,09%",Capitalisation,Réplication complète,LU1681047236
LEONIA.MI,Amundi EUR Overnight Return UCITS ETF Acc,"0,10%",Capitalisation,Basée sur swap non financé,FR0010510800
AEEM.PA,Amundi MSCI Emerging Markets UCITS ETF EUR (C),"0,20%",Capitalisation,Basée sur swap non financé,LU1681045370
SUES.L,iShares MSCI EM SRI UCITS ETF,"0,25%",Capitalisation,Réplication complète,IE00BYVJRP78
DBXJ.DE,Xtrackers MSCI Japan UCITS ETF 1C,"0,12%",Capitalisation,Réplication complète,LU0274209740
CMXUS.SW,UBS MSCI USA NSL UCITS ETF USD acc,"0,09%",Capitalisation,Réplication complète,IE000OULL4R4
SPYI.DE,SPDR MSCI All Country World Investable Market UCITS ETF (Acc),"0,17%",Capitalisation,Échantillonnage optimisé,IE00B3YLTY66
FLOA.L,iShares USD Floating Rate Bond UCITS ETF USD (Acc),"0,10%",Capitalisation,Échantillonnage,IE00BDFGJ627
VECP.SW,Vanguard EUR Corporate Bond UCITS ETF (EUR) Distributing,"0,07%",Distribution,Échantillonnage,IE00BZ163G84
CMOD.L,Invesco Bloomberg Commodity UCITS ETF Acc,"0,19%",Capitalisation,Basée sur swap non financé,IE00BD6FTQ80
MINV.L,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),"0,30%",Capitalisation,Échantillonnage optimisé,IE00B8FHGS14
IE00BLRPN388.SG,Fidelity Emerging Markets Equity Research Enhanced UCITS ETF ACC-USD,"0,30%",Capitalisation,Réplication complète,IE00BLRPN388
VETA.L,Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,"0,07%",Capitalisation,Échantillonnage,IE00BH04GL39
LU2263803533.SG,Xtrackers MSCI World Swap UCITS ETF 1D,"0,19%",Distribution,Basée sur swap non financé,LU2263803533
IAUP.L,iShares Gold Producers UCITS ETF,"0,55%",Capitalisation,Réplication complète,IE00B6R52036
VFEM.L,Vanguard FTSE Emerging Markets UCITS ETF Distributing,"0,22%",Distribution,Réplication complète,IE00B3VVMM84
EPAB.PA,Amundi S&P Eurozone Climate Paris Aligned UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2195226068
LEMA.L,Amundi MSCI Emerging Markets II UCITS ETF Acc,"0,14%",Capitalisation,Basée sur swap non financé,LU2573967036
SMH.L,VanEck Semiconductor UCITS ETF,"0,35%",Capitalisation,Réplication complète,IE00BMC38736
VDPA.L,Vanguard USD Corporate Bond UCITS ETF Accumulating,"0,07%",Capitalisation,Échantillonnage,IE00BGYWFK87
IE000OJ5TQP4.SG,HANetf Future of Defence UCITS ETF,"0,49%",Capitalisation,Réplication complète,IE000OJ5TQP4
IE000QQ8Z0D8.SG,Amundi MSCI USA ESG Broad Transition UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE000QQ8Z0D8
JBEM.PA,BNP Paribas Easy JPM ESG EMU Government Bond IG UCITS ETF,"0,15%",Capitalisation,Réplication complète,LU1481202692
ISPY.L,L&G Cyber Security UCITS ETF,"0,69%",Capitalisation,Réplication complète,IE00BYPLS672
XUSW.L,Xtrackers MSCI USA Swap UCITS ETF 1D,"0,07%",Distribution,Basée sur swap non financé,LU2581375073
IBGX.SW,iShares Euro Government Bond 3-5yr UCITS ETF,"0,15%",Distribution,Échantillonnage,IE00B1FZS681
EXI2.DE,iShares Dow Jones Global Titans 50 UCITS ETF (DE) EUR (Dist),"0,51%",Distribution,Échantillonnage optimisé,DE0006289382
500.PA,Amundi S&P 500 UCITS ETF EUR (C),"0,15%",Capitalisation,Basée sur swap non financé,LU1681048804
EXCH.AS,iShares MSCI EM ex-China UCITS ETF USD (Acc),"0,18%",Capitalisation,Réplication complète,IE00BMG6Z448
XZMJ.DE,Xtrackers MSCI Japan ESG UCITS ETF 1C,"0,20%",Capitalisation,Réplication complète,IE00BG36TC12
ECR3.DE,Amundi Index Euro Corporate SRI 0-3 Y UCITS ETF DR (C),"0,12%",Capitalisation,Échantillonnage,LU2037748774
IBTS.L,iShares USD Treasury Bond 1-3yr UCITS ETF (Dist),"0,07%",Distribution,Échantillonnage,IE00B14X4S71
XDWH.L,Xtrackers MSCI World Health Care UCITS ETF 1C,"0,25%",Capitalisation,Réplication complète,IE00BM67HK77
XDEV.DE,Xtrackers MSCI World Value UCITS ETF 1C 1C,"0,25%",Capitalisation,Réplication complète,IE00BL25JM42
DBXP.DE,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,"0,15%",Capitalisation,Échantillonnage,LU0290356871
WEBE.DE,Amundi S&P 500 Climate Paris Aligned UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE000UZTA1X0
4BRZ.DE,iShares MSCI Brazil UCITS ETF (DE) USD (Acc),"0,31%",Capitalisation,Réplication complète,DE000A0Q4R85
VNRT.L,Vanguard FTSE North America UCITS ETF Distributing,"0,10%",Distribution,Réplication complète,IE00BKX55R35
TNOW.PA,Amundi MSCI World Information Technology UCITS ETF EUR Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033667
UCAP.L,Ossiam Shiller Barclays CAPE® US Sector Value TR UCITS ETF 1C (USD),"0,65%",Capitalisation,Basée sur swap,LU1079841513
WEBG.DE,Amundi Prime All Country World UCITS ETF Dist,"0,07%",Distribution,Réplication complète,IE0009HF1MK9
UIFS.L,iShares S&P 500 Financials Sector UCITS ETF (Acc),"0,15%",Capitalisation,Réplication complète,IE00B4JNQZ49
IE000LAP5Z18.SG,Amundi S&P 500 Equal Weight ESG Leaders UCITS ETF DR - USD (A),"0,18%",Capitalisation,Réplication complète,IE000LAP5Z18
EXS3.DE,iShares MDAX UCITS ETF (DE),"0,51%",Capitalisation,Réplication complète,DE0005933923
XB4F.DE,Xtrackers II EUR Corporate Bond SRI PAB UCITS ETF 1D,"0,16%",Distribution,Échantillonnage optimisé,LU0484968812
CEUG.DE,Amundi MSCI Europe ESG Broad Transition UCITS ETF - EUR (C),"0,12%",Capitalisation,Réplication complète,LU1681042609
HMEF.L,HSBC MSCI Emerging Markets UCITS ETF USD,"0,15%",Distribution,Réplication complète,IE00B5SSQT16
VJPN.SW,Vanguard FTSE Japan UCITS ETF Distributing,"0,15%",Distribution,Réplication complète,IE00B95PGT31
IBCX.L,iShares Euro Corporate Bond Large Cap UCITS ETF,"0,09%",Distribution,Échantillonnage,IE0032523478
LU1971906802.SG,UBS EURO STOXX 50 ESG UCITS ETF EUR dis,"0,10%",Distribution,Réplication complète,LU1971906802
IUST.DE,iShares USD TIPS UCITS ETF USD (Acc),"0,10%",Capitalisation,Échantillonnage,IE00B1FZSC47
IE00BFMXYP42.SG,Vanguard FTSE 100 UCITS ETF (GBP) Accumulating,"0,09%",Capitalisation,Réplication complète,IE00BFMXYP42
0GGH.L,iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),"0,10%",Capitalisation,Échantillonnage,IE00BDBRDM35
LUSAC.SW,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,IE0006IP4XZ8
GBSP.L,WisdomTree Physical Gold - GBP Daily Hedged,"0,25%",Capitalisation,Physiquement garanti,JE00B7VG2M16
VDCA.L,Vanguard USD Corporate 1-3 Year Bond UCITS ETF Accumulating,"0,09%",Capitalisation,Échantillonnage,IE00BGYWSV06
IHYA.L,iShares USD High Yield Corporate Bond UCITS ETF USD (Acc),"0,50%",Capitalisation,Échantillonnage,IE00BYXYYL56
SECA.DE,iShares EUR Government Bond Climate UCITS ETF EUR (Acc),"0,09%",Capitalisation,Échantillonnage optimisé,IE00BLDGH553
IXUA.DE,iShares MSCI World ex-USA UCITS ETF USD (Acc),"0,15%",Capitalisation,Réplication complète,IE000R4ZNTN3
IBGS.SW,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),"0,15%",Distribution,Échantillonnage,IE00B14X4Q57
