Ticker,Nom du fonds,Frais,Distribution,Réplication,ISIN,Annualised_Tracking_Difference
PRIR.L,Amundi Prime Euro Govies UCITS ETF DR (D),"0,05%",Distribution,Échantillonnage,LU1931975152,-0.026
AUEM.L,Amundi MSCI Emerging Markets UCITS ETF USD,"0,20%",Capitalisation,Basée sur swap non financé,LU1681045453,-0.481
LU1940199711.SG,Amundi MSCI Europe ESG Selection UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU1940199711,0.26
GOAI.PA,Amundi MSCI Robotics & AI UCITS ETF Acc,"0,40%",Capitalisation,Réplication complète,LU1861132840,-1.281
S500H.PA,Amundi S&P 500 Screened UCITS ETF Acc EUR Hedged,"0,28%",Capitalisation,Réplication complète,IE00058MW3M8,-0.715
COMO.PA,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1829218749,-0.618
CSH2.L,Amundi Smart Overnight Return UCITS ETF GBP Hedged Acc,"0,10%",Capitalisation,Basée sur swap non financé,LU1230136894,0.194
X1G.PA,Amundi Government Bond Lowest Rated Euro Investment Grade UCITS ETF EUR (C),"0,14%",Capitalisation,Échantillonnage,LU1681046774,-0.209
IE000R85HL30.SG,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc,"0,18%",Capitalisation,Réplication complète,IE000R85HL30,-0.255
LEM.PA,Amundi MSCI Emerging Markets III UCITS ETF EUR Acc,"0,55%",Capitalisation,Basée sur swap non financé,FR0010429068,-1.034
EGRI.PA,Amundi Index Euro Aggregate SRI UCITS ETF DR (C),"0,16%",Capitalisation,Échantillonnage,LU2182388236,-0.153
F50A.DE,Amundi Prime Global UCITS ETF Acc,"0,05%",Capitalisation,Réplication complète,IE0009DRDY20,0.163
MFED.PA,Amundi MSCI EMU ESG Broad Transition UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,LU0908501058,1.651
IE000CNSFAR2.SG,Amundi MSCI World UCITS ETF DR - USD (D),"0,12%",Distribution,Réplication complète,IE000CNSFAR2,0.135
C3M.PA,Amundi ETF Govies 0-6 Months Euro Investment Grade UCITS ETF EUR (C),"0,14%",Capitalisation,Réplication complète,FR0010754200,-0.175
CHIP.SW,Amundi MSCI Semiconductors UCITS ETF Acc,"0,35%",Capitalisation,Réplication complète,LU1900066033,-12.818
CD5.PA,Amundi EURO STOXX 50 UCITS ETF DR - EUR (D),"0,09%",Distribution,Réplication complète,LU1681047319,1.071
PE500.PA,Amundi PEA S&P 500 Screened UCITS ETF Acc,"0,25%",Capitalisation,Basée sur swap non financé,FR0013412285,0.17
SMTC.L,Amundi Smart Overnight Return UCITS ETF USD Hedged Acc,"0,10%",Capitalisation,Basée sur swap non financé,LU1248511575,0.317
CM9.PA,Amundi ETF MSCI World ex EMU UCITS ETF EUR (C),"0,35%",Capitalisation,Basée sur swap non financé,FR0010756114,-0.737
AEMD.DE,Amundi Index MSCI Emerging Markets UCITS ETF DR (D),"0,18%",Distribution,Réplication complète,LU1737652583,-0.273
MEU.PA,Amundi MSCI Europe II UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,FR0010261198,0.187
RS2K.PA,Amundi Russell 2000 UCITS ETF EUR (C),"0,35%",Capitalisation,Basée sur swap non financé,LU1681038672,-0.007
L100.L,Amundi FTSE 100 UCITS ETF Acc,"0,14%",Capitalisation,Basée sur swap non financé,LU1650492173,-0.321
PSP5.PA,Amundi PEA S&P 500 UCITS ETF Acc,"0,12%",Capitalisation,Basée sur swap non financé,FR0011871128,1.146
LU2089238898.SG,Amundi Prime Euro Govies UCITS ETF DR (C),"0,05%",Capitalisation,Échantillonnage,LU2089238898,-0.019
BTP10.MI,Amundi Italy BTP Government Bond 10Y UCITS ETF Acc,"0,17%",Capitalisation,Réplication complète,LU1598691217,-0.17
HLT.PA,Amundi STOXX Europe 600 Healthcare UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU1834986900,-0.37
LU2608817958.SG,Amundi MSCI Europe Action UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU2608817958,0.123
SADU.PA,Amundi MSCI USA ESG Leaders UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE000PEAJOT0,-0.199
C40.PA,Amundi CAC 40 ESG UCITS ETF DR - EUR (C),"0,25%",Capitalisation,Réplication complète,LU1681046931,1.579
WLDH.PA,Amundi MSCI World II UCITS ETF EUR Hedged Dist,"0,30%",Distribution,Basée sur swap non financé,FR0011660927,-0.291
CE8.PA,Amundi MSCI World ex Europe UCITS ETF EUR (C),"0,35%",Capitalisation,Basée sur swap non financé,LU1681045537,-0.812
PUST.PA,Amundi PEA Nasdaq-100 UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0011871110,-1.217
FINW.L,Amundi MSCI World Financials UCITS ETF USD Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033071,-0.284
PRAC.DE,Amundi EUR Corporate Bond UCITS ETF DR EUR (C),"0,07%",Capitalisation,Échantillonnage,LU2089238625,-0.162
IE000VML2GZ3.SG,Amundi MSCI USA ESG Leaders Extra UCITS ETF DR USD (A),"0,10%",Capitalisation,Réplication complète,IE000VML2GZ3,0.174
WLDHC.PA,Amundi MSCI World II UCITS ETF EUR Hedged Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0014003N93,-0.063
MFE.PA,Amundi MSCI EMU UCITS ETF Dist,"0,12%",Distribution,Réplication complète,LU1646360971,0.729
LYPE.DE,Amundi MSCI World Health Care UCITS ETF EUR Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033238,-0.535
CACC.PA,Amundi CAC 40 UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,FR0013380607,-0.417
AASG.L,Amundi MSCI Emerging Markets Asia UCITS ETF USD,"0,20%",Capitalisation,Basée sur swap non financé,LU1681044563,-0.642
C5E.PA,Amundi ETF STOXX Europe 50 UCITS ETF EUR (C),"0,15%",Capitalisation,Basée sur swap non financé,FR0010790980,0.242
US7.SW,Amundi US Treasury Bond 7-10Y UCITS ETF Acc,"0,06%",Capitalisation,Réplication complète,LU1407887915,-0.024
LCUK.L,Amundi UK Equity All Cap UCITS ETF Dist,"0,04%",Distribution,Réplication complète,LU1781541096,-0.106
SBIM.DE,Amundi MSCI Emerging Markets ESG Broad Transition UCITS ETF DR (C),"0,18%",Capitalisation,Réplication complète,LU2109787049,-0.392
NRJ.PA,Amundi MSCI New Energy UCITS ETF Dist,"0,60%",Distribution,Réplication complète,FR0010524777,-1.008
10AI.DE,Amundi Index MSCI Europe UCITS ETF DR EUR (D),"0,12%",Distribution,Réplication complète,LU1737652310,0.387
MWOW.DE,Amundi Russell 1000 Growth UCITS ETF Acc,"0,19%",Capitalisation,Réplication complète,IE0005E8B9S4,0.197
LCCN.L,Amundi MSCI China UCITS ETF Acc,"0,29%",Capitalisation,Basée sur swap non financé,LU1841731745,-0.119
EMXG.L,Amundi MSCI Emerging ex China ESG Leaders Select UCITS ETF DR (C),"0,35%",Capitalisation,Réplication complète,LU2345046655,-0.385
LU1806495575.SG,Amundi Index US Corporate SRI UCITS ETF DR (C),"0,14%",Capitalisation,Réplication complète,LU1806495575,-0.162
MIBX.L,Amundi FTSE MIB UCITS ETF Dist,"0,35%",Distribution,Réplication complète,FR0010010827,1.257
NRAM.PA,Amundi MSCI North America ESG Broad Transition UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE000MYCJA42,-0.279
IE000KYX7IP4.SG,Amundi S&P Global Financials ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000KYX7IP4,0.226
LYASI.SW,Amundi MSCI China ESG Selection Extra UCITS ETF Acc,"0,65%",Capitalisation,Réplication complète,LU1900068914,-0.813
AEJ.PA,Amundi MSCI AC Asia Pacific Ex Japan UCITS ETF Acc,"0,60%",Capitalisation,Basée sur swap non financé,LU1900068328,-1.388
LYXC.DE,Amundi Euro Government Bond 5-7Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1287023003,-0.176
USBD.DE,Amundi Global Corporate Bond UCITS ETF USD Hedged Acc,"0,17%",Capitalisation,Échantillonnage,LU2924150019,-0.212
LU2233156582.SG,Amundi Prime Euro Government Bonds 0-1Y UCITS ETF DR (C),"0,05%",Capitalisation,Réplication complète,LU2233156582,0.001
SPHC.MI,Amundi S&P 500 II UCITS ETF EUR Hedged Acc,"0,07%",Capitalisation,Basée sur swap non financé,LU0959211326,0.261
TIPU.L,Amundi US TIPS Government Inflation-Linked Bond UCITS ETF Dist,"0,09%",Distribution,Réplication complète,LU1452600270,-0.111
LU1407888137.SG,Amundi US Treasury Bond 7-10Y UCITS ETF EUR Hedged Acc,"0,06%",Capitalisation,Réplication complète,LU1407888137,-0.101
CW8U.L,Amundi MSCI World UCITS ETF USD (C),"0,38%",Capitalisation,Basée sur swap non financé,LU1681043672,-0.257
GLDU.AS,Amundi NYSE Arca Gold Bugs UCITS ETF Dist,"0,65%",Distribution,Réplication complète,LU2611731824,-1.1
CU2.PA,Amundi PEA MSCI USA ESG Leaders UCITS ETF EUR (C),"0,35%",Capitalisation,Réplication complète,LU1681042864,-0.195
PABH.PA,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc EUR Hedged,"0,25%",Capitalisation,Réplication complète,IE00058B19U6,-0.643
JPN.PA,Amundi Japan TOPIX II UCITS ETF EUR Dist,"0,45%",Distribution,Réplication complète,FR0010245514,-1.775
IE000EFHIFG3.SG,Amundi S&P Global Communication Services ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000EFHIFG3,-0.107
CC4.PA,Amundi Index Euro Corporate SRI UCITS ETF 2 DR EUR (C),"0,14%",Capitalisation,Échantillonnage,LU1681039647,-0.244
LU2300294316.SG,Amundi Euro Corporate 0-1Y ESG UCITS ETF DR (C),"0,08%",Capitalisation,Échantillonnage,LU2300294316,0.018
AFLT.PA,Amundi Floating Rate USD Corporate ESG UCITS ETF USD (C),"0,18%",Capitalisation,Échantillonnage,LU1681040900,-0.326
ANXU.L,Amundi Nasdaq 100 UCITS ETF USD,"0,23%",Capitalisation,Basée sur swap non financé,LU1681038326,-2.129
IE00085PWS28.SG,Amundi MSCI World Ex USA UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,IE00085PWS28,0.04
MMS.PA,Amundi MSCI EMU Small Cap ESG Broad Transition UCITS ETF,"0,40%",Distribution,Réplication complète,LU1598689153,0.262
GOVG.L,Amundi Index J.P. Morgan GBI Global Govies UCITS ETF DR Hedged GBP (D),"0,15%",Distribution,Échantillonnage,LU2355200796,0.002
GLUX.PA,Amundi S&P Global Luxury UCITS ETF - EUR (C),"0,25%",Capitalisation,Basée sur swap non financé,LU1681048630,-1.453
CV9.PA,Amundi MSCI Europe Value Factor UCITS ETF EUR,"0,23%",Capitalisation,Basée sur swap non financé,LU1681042518,-0.293
OBLI.PA,Amundi PEA Euro Court Terme UCITS ETF Acc,"0,25%",Capitalisation,Basée sur swap non financé,FR0013346681,-0.419
LU2780870932.SG,Amundi Global Corporate Bond 1-5Y Highest Rated ESG UCITS ETF USD Hedged Acc,"0,18%",Capitalisation,Échantillonnage,LU2780870932,-0.089
CJ1P.L,Amundi MSCI Japan ESG Broad Transition UCITS ETF GBP Dist,"0,08%",Distribution,Réplication complète,LU2668197069,-0.092
IE000E7EI9P0.SG,Amundi S&P Global Information Technology ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000E7EI9P0,-0.121
WLDC.MI,Amundi MSCI World II UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0014003IY1,0.155
MWSH.MI,Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged,"0,20%",Capitalisation,Réplication complète,IE000K1P4V37,0.018
EWLD.PA,Amundi MSCI World UCITS ETF - EUR (D),"0,38%",Distribution,Basée sur swap non financé,LU2655993207,-0.307
MGT.PA,Amundi DJ Global Titans 50 UCITS ETF Dist,"0,40%",Distribution,Basée sur swap non financé,FR0007075494,-1.671
AHYE.PA,Amundi Euro High Yield Bond ESG UCITS ETF EUR (C),"0,35%",Capitalisation,Échantillonnage,LU1681040496,-0.699
IE000IP0UC52.SG,Amundi MSCI USA ESG Leaders UCITS ETF Acc EUR Hedged,"0,17%",Capitalisation,Réplication complète,IE000IP0UC52,-0.119
INDGW.MI,Amundi S&P Global Industrials ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000LTA2082,-0.442
LYINR.SW,Amundi MSCI India II UCITS ETF USD Acc,"0,85%",Capitalisation,Basée sur swap non financé,FR0010375766,-3.394
LU2572256746.SG,Amundi MSCI China A II UCITS ETF Dist,"0,25%",Distribution,Basée sur swap non financé,LU2572256746,2.297
LU2082999306.SG,Amundi Smart Overnight Return UCITS ETF Dist,"0,10%",Distribution,Basée sur swap non financé,LU2082999306,0.128
GGOV.PA,Amundi Index J.P. Morgan GBI Global Government Bonds UCITS ETF DR (C),"0,20%",Capitalisation,Échantillonnage,LU1437016204,-0.161
MAA.PA,Amundi Euro Highest Rated Macro-Weighted Government Bond UCITS ETF Acc,"0,17%",Capitalisation,Réplication complète,LU1287023342,-0.147
DJE.MI,Amundi Dow Jones Industrial Average UCITS ETF Dist,"0,50%",Distribution,Basée sur swap non financé,FR0007056841,0.093
PAASI.PA,Amundi PEA MSCI Emerging Asia ESG Leaders UCITS ETF EUR (C/D),"0,30%",Capitalisation,Basée sur swap non financé,FR0013412012,-0.686
AGHG.L,Amundi Global Aggregate Bond UCITS ETF DR - GBP Hedged (D),"0,08%",Distribution,Échantillonnage,LU2355200523,-0.162
MTF.PA,Amundi Euro Government Bond 15+Y UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU1287023268,-0.145
9E0E.DE,Amundi Index Euro Aggregate SRI UCITS ETF DR (D),"0,16%",Distribution,Échantillonnage,LU2439113387,-0.162
EPRA.PA,Amundi Index FTSE EPRA NAREIT Global UCITS ETF DR,"0,24%",Capitalisation,Réplication complète,LU1437018838,-0.098
LWCE.PA,Amundi MSCI Europe Climate Paris Aligned UCITS ETF Acc,"0,15%",Capitalisation,Réplication complète,LU2130768844,0.231
QCEU.PA,Amundi MSCI Europe Quality Factor UCITS ETF EUR (C),"0,23%",Capitalisation,Basée sur swap non financé,LU1681041890,-0.335
MTH.PA,Amundi Euro Government Bond 25+Y UCITS ETF Acc,"0,07%",Capitalisation,Réplication complète,LU1686832194,-0.036
CP9.PA,Amundi MSCI Pacific Ex Japan SRI Climate Paris Aligned UCITS ETF DR - EUR (C),"0,45%",Capitalisation,Réplication complète,LU1602144906,-0.392
MA13.PA,Amundi Euro Highest Rated Macro-Weighted Government Bond 1-3Y UCITS ETF Acc,"0,17%",Capitalisation,Réplication complète,LU1829219556,-0.134
IE000PMX0MW6.SG,Amundi S&P Global Utilities ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000PMX0MW6,0.608
APX.PA,Amundi MSCI AC Asia Ex Japan UCITS ETF Acc,"0,50%",Capitalisation,Basée sur swap non financé,LU1900068161,-1.18
CEC.PA,Amundi MSCI Eastern Europe Ex Russia UCITS ETF Acc,"0,50%",Capitalisation,Basée sur swap non financé,LU1900066462,-0.956
PAEEM.PA,Amundi PEA Emergent (MSCI Emerging) ESG Transition UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0013412020,-0.682
PANX.PA,Amundi PEA US Tech Screened UCITS ETF Acc,"0,30%",Capitalisation,Basée sur swap non financé,FR0013412269,0.544
ERTH.PA,Amundi Euro Government Green Bond UCITS ETF Acc,"0,20%",Capitalisation,Réplication complète,LU2356220926,-0.122
TPXE.PA,Amundi Japan Topix UCITS ETF EUR,"0,20%",Capitalisation,Basée sur swap non financé,LU1681037609,-1.163
MFEC.PA,Amundi MSCI EMU UCITS ETF Acc,"0,12%",Capitalisation,Réplication complète,LU1646361276,0.586
SEL.PA,Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist,"0,30%",Distribution,Basée sur swap non financé,LU1812092168,0.436
CLWD.PA,Amundi MSCI World ESG Broad Transition UCITS ETF Dist,"0,20%",Distribution,Réplication complète,IE000PB4LRO2,-0.03
CLIM.PA,Amundi Global Aggregate Green Bond UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,LU1563454310,-0.262
LYTNOW.SW,Amundi MSCI World Information Technology UCITS ETF USD Acc,"0,30%",Capitalisation,Basée sur swap non financé,LU0533033741,-2.433
ALAT.PA,Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (C),"0,20%",Capitalisation,Basée sur swap non financé,LU1681045024,-0.542
PRAJ.DE,Amundi Prime Japan UCITS ETF DR (C),"0,05%",Capitalisation,Réplication complète,LU2089238385,0.051
LCAL.L,Amundi MSCI EM Asia ESG Broad Transition UCITS ETF Acc,"0,25%",Capitalisation,Réplication complète,LU1781541849,-0.009
CSWG.L,Amundi MSCI Switzerland UCITS ETF CHF,"0,25%",Capitalisation,Basée sur swap non financé,LU1681044993,-0.387
DISW.MI,Amundi S&P Global Consumer Discretionary ESG UCITS ETF DR EUR (A),"0,18%",Capitalisation,Réplication complète,IE000NM0ALX6,-0.022
LJPN.SW,Amundi MSCI Japan UCITS ETF Dist,"0,12%",Distribution,Réplication complète,LU2090063673,-0.279
MSDU.L,Amundi MSCI Emerging Markets SRI Climate Paris Aligned UCITS ETF DR (D),"0,25%",Distribution,Réplication complète,LU2059756754,-0.449
